,year of founding,Internet Activity Score,Focus functions of company,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Amount,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Renown score,Market Research,Marketing,Analytics,Software Development,Mobile,Enterprise Software,Media,Cloud Computing,Network / Hosting / Infrastructure,Social Networking,Retail,Entertainment,Healthcare,Energy,Search,Food & Beverages,Music,Publishing,Gaming,Email,Career / Job Search
221,,-254.0,"Marketing, Procurement, Human Resources",448.0,0.0,Yes,,20000000.0,United States,0,1,3,0,8,No,0,low,Yes,Medium,No,No,No,Yes,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Linear,No,None,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Low,High,Yes,Low,PhD,MGMT,Yes,Yes,Both,500,Medium,0,1,1,Medium,600,Many,3,Low,Low,No,No,Medium,Bad,Yes,No,No,Yes,No,No,,3702887,No,No,No,2.0,High,2,36.08,20,Yes,24,1,,,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2007,36.0,Operations,1.0,,No,6/4/2007,500000.0,United States,0,1,0,0,3,No,0,low,Yes,Small,No,No,No,No,Product,Yes,Private,No,Unstructured,Yes,Cloud,Local,Non-Linear,No,None,No,No,Yes,No,No,Yes,No,No,No,Yes,Online,B2B,Low,High,Yes,Low,Bachelors,CSE,Yes,Yes,None,500,Medium,0,1,1,Medium,116,Many,18,Medium,High,No,No,Low,Very Good,No,No,No,No,No,No,,,Yes,No,No,2.0,Medium,1,0.8,0.5,Yes,15,10,Plateau,0 to 2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,2009,12.0,Operations,,,No,7/1/2009,800000.0,United States,1,6,2,0,3,Yes,0,high,No,Small,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Unstructured,Yes,Cloud,Global,Non-Linear,No,None,No,No,Yes,No,No,Yes,No,No,No,No,Online,B2C,Low,Low,Yes,Low,Bachelors,COMPUTERS,Yes,Yes,Both,141,Low,0,0,0,None,0,None,12,Medium,High,Yes,Yes,Medium,Average,Yes,Yes,Yes,No,No,Yes,Low,9439938,No,No,No,4.0,Low,2,1.75,0.8,Not Applicable,30,20,,,1,,,,,,,,,,,,,,,,,,,,,
224,2009,-16.0,Operations,1.0,0.0,No,8/1/2009,18000.0,United States,2,0,0,1,2,Yes,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,None,No,No,Yes,No,No,No,No,No,No,Yes,Online,B2C,Low,High,Yes,Low,,,,Yes,,380,High,0,0,0,None,0,None,10,Low,High,No,Yes,Low,Average,Yes,Yes,No,No,No,No,,,Yes,No,No,3.0,Medium,2,1,0.018,Not Applicable,12,12,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,2010,-29.0,sales,10.0,-17.0,No,7/1/2010,11000000.0,United States,0,0,2,3,4,Yes,1,low,Yes,Small,No,No,No,Yes,Product,Yes,Private,Yes,Structured,Yes,Cloud,Local,Non-Linear,No,None,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,engg,Yes,Yes,Tier_1,500,Medium,0,1,0,High,233,Few,38,Low,Low,No,Yes,Low,Bad,Yes,No,Yes,Yes,No,No,Low,,Yes,No,No,3.0,Medium,2,3.3,11,Not Applicable,8,6,Trigger,2 to 5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2008,0.0,Operations,0.0,-100.0,No,8/1/2008,150000.0,United States,7,1,2,1,2,Yes,3,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,None,No,No,Yes,No,No,Yes,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,economics,Yes,Yes,None,500,Medium,0,0,0,None,86,None,10,Low,Medium,No,No,Low,Average,No,Yes,No,Yes,No,Yes,,898999,No,No,Yes,2.0,Medium,3,1.2,0.15,No,12,14,Plateau,0 to 2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,2005,-133.0,Operations,0.0,-100.0,No,12/1/2005,4000000.0,United States,1,0,1,3,2,No,1,medium,No,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Cloud,Local,Non-Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,Yes,Online,B2B,Medium,Low,No,Medium,Bachelors,media,No,Yes,Tier_1,222,Low,0,0,0,None,0,None,0,Low,Low,No,No,Low,,No,No,No,No,No,No,,,No,No,No,3.0,Medium,11,2.5,4,No,20,12,Trigger,2 to 5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2012,,"CRM, Marketing, Human Resources",,,yes,,,,0,0,2,1,2,No,0,medium,Yes,Small,No,No,No,No,Service,Yes,Private,No,Both,Yes,Both,Global,Linear,Yes,None,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,Arts,No,No,None,500,Low,0,0,0,Low,50,Few,10,Low,Medium,Yes,No,Low,,No,No,No,No,No,No,High,,Yes,No,No,2.0,Medium,10,30,3.5,Not Applicable,8,6.966666667,Plateau,0 to 2,0,,,,,,,,,,,,,,,,,,,,,
229,2012,63.0,Marketing,4.0,,No,1/1/2012,600000.0,United States,3,0,2,0,3,No,0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,B2B,Low,High,Yes,Medium,Masters,law,No,Yes,None,500,Medium,0,0,0,None,0,None,25,Low,Low,Yes,No,Low,,No,No,No,No,No,No,,3743293,No,Yes,No,4.0,High,0,6,0.6,Not Applicable,12,12,Trough,2 to 5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,2012,1193.0,Marketing,13.0,8.0,No,2/1/2012,1000000.0,United States,2,0,2,0,2,No,0,high,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Private,No,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,Medium,No,Low,Bachelors,"Finance, Management",No,No,Tier_1,500,Low,0,1,1,Low,240,Few,37,Low,Low,Yes,Yes,Low,,No,No,No,No,No,No,High,14785,Yes,Yes,No,2.0,Low,2,15,1,Not Applicable,20,20,Plateau,2 to 5,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,2011,207.0,Database Management,13.0,-7.0,No,11/1/2011,3200000.0,United States,6,0,3,2,3,Yes,1,high,No,Small,Yes,No,No,No,Both,Yes,Private,Yes,Structured,Yes,Cloud,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Medium,Medium,No,Low,Bachelors,Computer Science,Yes,Yes,None,500,Low,1,1,1,Medium,62,Many,10,Medium,Low,Yes,No,Medium,,Yes,Yes,No,Yes,No,No,High,751103,No,No,Yes,3.0,Medium,0,9,3.2,Not Applicable,2,7.188888889,Peak,2 to 5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,,13.0,operation,,,No,,1000000.0,United States,1,3,2,1,1,No,0,Nothing,No,Large,No,No,No,No,Product,No,no,No,no,No,Platform,,,,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2B,Medium,Medium,No,Low,Masters,Human computer interaction,Yes,Yes,Tier_1,222,Medium,0,0,1,Medium,44,Few,7,Low,Medium,No,Yes,Medium,,No,Yes,No,No,No,No,Medium,7020276,No,No,Yes,3.0,Medium,2,,1,,1,4.45,,,0,,,,,,,,,,,,,,,,,,,,,
233,2010,388.0,CRM,36.0,24.0,yes,5/1/2010,15500000.0,United States,0,0,3,3,6,Yes,2,high,No,Small,No,No,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,Global,Non-Linear,No,None,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,High,Bachelors,Computer Science,Yes,Yes,None,500,High,0,1,1,Medium,222,Many,50,High,High,Yes,No,Medium,,Yes,Yes,Yes,Yes,No,No,High,82868,No,No,No,3.0,Medium,4,12.33,15.5,Not Applicable,1,16.62222222,Trigger,2 to 5,9,,,,,,,,,,,,,,,,,,,,,
234,2008,-96.0,marketing,52.0,2.0,yes,7/1/2008,3500000.0,United States,0,0,5,5,10,Yes,2,high,No,Large,No,No,Yes,Yes,Service,Yes,Private,No,Structured,Yes,Cloud,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,MBA,Yes,Yes,None,500,High,0,0,0,High,135,Few,50,High,Medium,Yes,No,Medium,,Yes,Yes,No,Yes,No,No,High,333844,No,No,No,2.0,High,1,11,3.5,Yes,45,6.433333333,Trigger,5 to 10,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
235,2012,,"Merchandising, Marketing",,,No,,,,1,0,3,0,3,No,0,low,No,Small,Yes,Yes,No,No,Service,No,Private,No,Both,No,Platform,Local,Non-Linear,No,None,No,No,No,No,No,No,No,No,Yes,No,Offline,B2B,Low,Medium,No,Low,Masters,MBA,Yes,No,Tier_1,500,Medium,0,1,1,Medium,113,Few,23,Medium,Medium,No,No,Low,,No,No,No,Yes,No,No,High,,Yes,No,Yes,4.0,Medium,0,6,0.04,Not Applicable,12,12,Peak,2 to 5,3,,,,,,,,,,,,,,,,,,,,,
236,2005,,Travel Planning,,,No,,,,0,0,1,2,3,No,0,Nothing,Yes,Medium,Yes,Yes,No,No,Service,No,Public,No,Both,Yes,Platform,Global,Linear,Yes,None,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2C,Low,High,No,Medium,Bachelors,Literature and History,No,Yes,None,500,Medium,1,1,1,Medium,125,Many,49,High,Medium,Yes,Yes,Low,,Yes,No,No,Yes,No,No,,,No,Yes,,3.0,Medium,0,1,,No,1,1,Plateau,5 to 10,5,,,,,,,,,,,,,,,,,,,,,
237,2012,32.0,Marketing,12.0,9.0,No,,1200000.0,United States,0,9,4,0,6,No,0,medium,Yes,Medium,Yes,Yes,No,No,Service,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,Low,High,No,High,Masters,Computer Science,Yes,Yes,Tier_1,500,High,0,0,1,Medium,225,Many,12,Low,Low,Yes,No,Medium,,No,Yes,No,Yes,No,No,Medium,1559939,Yes,No,Yes,3.0,Low,0,10,1.2,Not Applicable,1,1,,,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2012,40.0,Marketing,5.0,0.0,yes,1/1/2012,455000.0,United States,2,0,2,0,2,No,0,Nothing,No,Large,No,No,Yes,No,Both,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Masters,MBA,Yes,Yes,None,500,High,0,1,1,Low,68,Many,30,Low,Low,No,No,Low,,No,Yes,No,No,No,No,Medium,8334266,No,No,No,2.0,Medium,0,6,0.455,Not Applicable,16,16,Peak,2 to 5,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2011,603.0,"Data Visualization, Content Marketing, Presentations",95.0,3.0,Yes,1/1/2011,8100000.0,United States,0,0,4,8,8,Yes,4,high,No,Medium,Yes,Yes,No,No,Service,Yes,Private,No,Structured,Yes,Cloud,Global,Linear,Yes,None,Yes,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,Medium,No,Low,Bachelors,Arts,No,No,Tier_2,500,Medium,0,0,1,Low,82,Few,16,High,High,Yes,No,Medium,,No,Yes,No,Yes,No,No,High,2725,Yes,Yes,Yes,4.0,High,0,48,8.1,Not Applicable,10,9.077777778,Peak,2 to 5,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,2007,,News,,,No,,,,0,0,2,0,2,No,0,Nothing,No,Small,No,No,No,No,Service,No,Public,No,no,Yes,Platform,Local,Non-Linear,No,None,No,No,No,No,No,No,No,No,Yes,No,Online,B2C,Low,High,Yes,Medium,Masters,MBA,No,Yes,Tier_1,500,Low,0,0,1,Low,69,Few,24,Low,Low,No,No,Medium,,No,Yes,Yes,No,Yes,Yes,,,No,No,,3.0,High,1,0.3,,No,1,1,Plateau,0 to 2,1,,,,,,,,,,,,,,,,,,,,,
241,,65.0,analtics,8.0,14.0,No,,714205.0,United States,0,0,2,0,2,No,0,low,No,Large,No,No,No,Yes,Product,No,Both,Yes,Structured,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,Yes,No,No,No,No,Offline,B2B,Low,Medium,Yes,Medium,Bachelors,engg,Yes,Yes,None,500,None,0,0,0,None,1,Few,25,Medium,Medium,Yes,No,Medium,,No,No,No,No,No,No,Low,4621889,No,Yes,No,4.0,High,0,3,0.714205,,1,8.383333333,,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2009,73.0,analytics,31.0,7.0,yes,4/1/2009,8000000.0,United States,0,0,2,0,3,No,2,high,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,Structured,Yes,Platform,global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,economics,Yes,Yes,Tier_2,500,Medium,0,0,0,High,0,Few,25,Medium,Medium,Yes,No,Medium,,No,No,No,No,No,No,Low,434839,No,Yes,No,4.0,High,3,9,8,Not Applicable,18,14.26666667,Peak,2 to 5,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,2010,359.0,security,297.0,7.0,yes,10/1/2010,30000000.0,United States,4,0,1,1,10,No,1,high,No,Large,Yes,Yes,No,Yes,Service,No,Both,No,Unstructured,No,Platform,global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Medium,High,Yes,Medium,Bachelors,computer science,Yes,Yes,Tier_1,500,Medium,0,0,0,High,0,None,25,Medium,Medium,Yes,No,Medium,Good,Yes,No,No,Yes,No,No,High,257071,No,Yes,No,3.0,Medium,0,99,30,Not Applicable,11,7.8,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2012,89.0,social media,6.0,20.0,No,,28000.0,India,0,1,2,0,2,No,0,medium,No,Small,No,No,No,Yes,Service,No,no,No,no,No,none,global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,Low,No,Low,Masters,chemical engg,No,No,Tier_1,500,None,0,0,0,None,0,None,16,Low,Low,Yes,No,Low,,Yes,No,No,No,No,No,,1541266,No,No,,3.0,Medium,0,4,0.028,Not Applicable,1,1,,,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2009,127.0,elearning,45.0,0.0,yes,10/1/2009,,India,2,0,2,0,1,No,0,high,No,Medium,No,No,No,No,Product,No,no,No,no,No,Platform,local,Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,No,Low,Bachelors,engg,Yes,Yes,Tier_2,500,None,0,0,0,None,1,None,25,Low,Low,No,No,Low,,Yes,No,No,No,No,No,Low,1327504,No,No,No,3.0,Medium,0,11.5,unknown amount,Not Applicable,20,12,,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,2011,359.0,service,19.0,19.0,YES,4/1/2011,,India,0,1,2,0,3,No,0,high,No,Medium,Yes,Yes,No,Yes,Service,No,no,No,no,Yes,Platform,local,Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,Yes,Low,Bachelors,business,Yes,Yes,Tier_1,500,Medium,0,0,0,None,4,Few,2,Medium,Low,No,Yes,Low,,No,No,No,No,No,No,Low,382303,No,No,No,3.0,Medium,0,15,unknown amount,Not Applicable,27,27,Trough,2 to 5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
247,2010,511.0,analytics,14.0,40.0,No,7/15/2010,3000000.0,Belgium,1,0,5,0,8,No,0,low,No,Medium,Yes,Yes,No,Yes,Service,No,Both,Yes,Unstructured,Yes,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,Medium,No,Medium,Masters,technology,Yes,Yes,Tier_2,500,Medium,0,0,0,Medium,8,Few,24,Medium,Medium,No,No,Low,,Yes,No,No,No,No,No,Low,245886,No,No,No,4.0,Medium,0,2.66,3,Not Applicable,1,1,Slope,2 to 5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2012,316.0,PHONE INTELLIGENCE,,,yes,9/1/2012,,Denmark,1,0,2,0,5,,0,low,No,Medium,Yes,Yes,No,Yes,Product,Yes,Public,No,Structured,No,Both,GLOBAL,Linear,Yes,None,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Online,B2B,Low,Medium,Yes,Low,Bachelors,ECO,No,Yes,None,409,High,1,0,0,None,3,Many,14,Low,Low,No,Yes,Low,,No,No,No,Yes,No,No,,20238024,No,No,No,3.0,High,0,50,unknown amount,Not Applicable,12,12,Plateau,0 to 2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2012,40.0,social branding,,,No,5/4/2012,110000.0,Spain,1,0,0,1,1,,0,medium,No,Medium,No,No,No,No,Service,No,Both,Yes,Structured,No,Both,global,Non-Linear,Yes,Few,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Online,B2C,Low,High,Yes,Low,Masters,MGMT,No,No,Both,345,High,0,0,1,Medium,8,Many,22,Medium,Low,Yes,No,Low,,No,No,Yes,No,No,Yes,,4386057,Yes,Yes,No,2.0,Medium,0,,0.11,Not Applicable,7,7,Plateau,0 to 2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,2012,89.0,social media,11.0,,yes,6/1/2012,600000.0,Finland,1,0,2,0,2,,0,low,No,Small,Yes,Yes,No,Yes,Service,Yes,Public,Yes,Both,Yes,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Low,Bachelors,MGMT,No,No,Both,500,Low,1,0,0,Medium,0,None,18,Low,Low,No,No,Low,,Yes,No,Yes,No,No,No,Low,1633729,Yes,Yes,No,2.0,Medium,0,5,0.6,Not Applicable,12,12,Peak,2 to 5,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2011,157.0,reporting,10.0,0.0,yes,5/10/2011,,France,2,1,4,0,1,Yes,2,low,No,Small,Yes,Yes,No,No,Product,Yes,Public,No,no,Yes,Both,global,Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,ECONOMICS,Yes,Yes,None,457,High,0,1,1,None,0,Many,29,High,Medium,Yes,No,Low,,No,No,No,Yes,No,No,Low,456198,No,Yes,Yes,3.0,Medium,4,6.5,unknown amount,Not Applicable,8,4.333333333,Peak,2 to 5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2013,224.0,MARKETING,,,No,7/1/2013,450000.0,France,3,0,3,0,3,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Public,No,Both,Yes,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,Medium,Yes,Low,Masters,MBA,Yes,Yes,None,500,High,1,0,0,None,88,None,18,High,Medium,Yes,No,Medium,,No,No,Yes,Yes,No,No,Low,1075438,Yes,Yes,No,3.0,Low,9,10,0.45,Not Applicable,9,2,Peak,5 to 10,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2009,-19.0,DASHBOARDS,20.0,,No,5/1/2009,3600000.0,United Kingdom,3,0,2,0,5,No,0,medium,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,Both,Yes,Both,GLOBAL,Linear,No,Few,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,BSC,Yes,Yes,None,146,Medium,1,0,0,None,0,Many,24,Medium,Low,Yes,No,Medium,,No,No,Yes,No,No,No,Low,1725737,Yes,Yes,No,4.0,Medium,0,12.5,3.6,Not Applicable,4,13.06666667,Trough,2 to 5,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,2012,138.0,technology,5.0,25.0,No,1/1/2012,2100000.0,United Kingdom,0,0,3,3,3,,0,low,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,Both,No,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Low,Masters,MBA,Yes,Yes,None,500,High,1,0,0,None,0,None,51,Low,Low,No,No,Low,,No,No,Yes,No,No,No,,2522474,No,No,No,3.0,Medium,0,50,2.1,Not Applicable,18,18,Peak,2 to 5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2011,205.0,localized behaviour,10.0,11.0,No,1/1/2011,15000.0,United Kingdom,2,0,2,1,1,No,0,low,No,Small,Yes,No,Yes,No,Product,Yes,Public,No,Unstructured,No,Both,global,Linear,No,None,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Masters,it,Yes,Yes,Both,500,High,1,1,0,None,470,None,27,High,Low,Yes,Yes,Low,,No,No,Yes,No,No,No,,3784917,No,Yes,No,3.0,Medium,19,5,0.015,Not Applicable,16,16,,,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2010,35.0,VIDEO STREAMING,7.0,,No,1/1/2010,,United Kingdom,0,0,3,0,1,No,0,low,No,Small,No,No,No,No,Service,Yes,Public,No,Unstructured,Yes,Both,GLOBAL,Linear,No,None,No,No,Yes,Yes,No,No,No,No,No,No,Online,B2B,None,Medium,Yes,Low,Masters,POL.SC,No,Yes,None,500,Medium,1,1,1,None,400,Many,0,High,Low,No,No,Low,,No,No,No,No,No,No,Low,5506308,No,No,No,1.0,Low,21,16.6,,Not Applicable,1,1,,,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
